"ID";"RegioS";"Perioden";"TotaalLevendGeborenKinderen_1"
"0";"NL01  ";"1988JJ00";"  186647"
"1";"NL01  ";"1989JJ00";"  188979"
"2";"NL01  ";"1990JJ00";"  197965"
"3";"NL01  ";"1991JJ00";"  198665"
"4";"NL01  ";"1992JJ00";"  196734"
"5";"NL01  ";"1993JJ00";"  195748"
"6";"NL01  ";"1994JJ00";"  195611"
"7";"NL01  ";"1995JJ00";"  190513"
"8";"NL01  ";"1996JJ00";"  189521"
"9";"NL01  ";"1997JJ00";"  192443"
"10";"NL01  ";"1998JJ00";"  199408"
"11";"NL01  ";"1999JJ00";"  200445"
"12";"NL01  ";"2000JJ00";"  206619"
"13";"NL01  ";"2001JJ00";"  202603"
"14";"NL01  ";"2002JJ00";"  202083"
"15";"NL01  ";"2003JJ00";"  200297"
"16";"NL01  ";"2004JJ00";"  194007"
"17";"NL01  ";"2005JJ00";"  187910"
"18";"NL01  ";"2006JJ00";"  185057"
"19";"NL01  ";"2007JJ00";"  181336"
"20";"NL01  ";"2008JJ00";"  184634"
"21";"NL01  ";"2009JJ00";"  184915"
"22";"NL01  ";"2010JJ00";"  184397"
"23";"NL01  ";"2011JJ00";"  180060"
"24";"NL01  ";"2012JJ00";"  175959"
"25";"NL01  ";"2013JJ00";"  171341"
"26";"NL01  ";"2014JJ00";"  175181"
"27";"NL01  ";"2015JJ00";"  170510"
"28";"NL01  ";"2016JJ00";"  172520"
"145";"PV20  ";"1988JJ00";"    6298"
"146";"PV20  ";"1989JJ00";"    6284"
"147";"PV20  ";"1990JJ00";"    6640"
"148";"PV20  ";"1991JJ00";"    6550"
"149";"PV20  ";"1992JJ00";"    6199"
"150";"PV20  ";"1993JJ00";"    6248"
"151";"PV20  ";"1994JJ00";"    6455"
"152";"PV20  ";"1995JJ00";"    6328"
"153";"PV20  ";"1996JJ00";"    6148"
"154";"PV20  ";"1997JJ00";"    6336"
"155";"PV20  ";"1998JJ00";"    6472"
"156";"PV20  ";"1999JJ00";"    6515"
"157";"PV20  ";"2000JJ00";"    6510"
"158";"PV20  ";"2001JJ00";"    6626"
"159";"PV20  ";"2002JJ00";"    6523"
"160";"PV20  ";"2003JJ00";"    6438"
"161";"PV20  ";"2004JJ00";"    6141"
"162";"PV20  ";"2005JJ00";"    5943"
"163";"PV20  ";"2006JJ00";"    5838"
"164";"PV20  ";"2007JJ00";"    5677"
"165";"PV20  ";"2008JJ00";"    5908"
"166";"PV20  ";"2009JJ00";"    5910"
"167";"PV20  ";"2010JJ00";"    5732"
"168";"PV20  ";"2011JJ00";"    5853"
"169";"PV20  ";"2012JJ00";"    5604"
"170";"PV20  ";"2013JJ00";"    5326"
"171";"PV20  ";"2014JJ00";"    5414"
"172";"PV20  ";"2015JJ00";"    5329"
"173";"PV20  ";"2016JJ00";"    5406"
"174";"PV21  ";"1988JJ00";"    7448"
"175";"PV21  ";"1989JJ00";"    7594"
"176";"PV21  ";"1990JJ00";"    7499"
"177";"PV21  ";"1991JJ00";"    7842"
"178";"PV21  ";"1992JJ00";"    7587"
"179";"PV21  ";"1993JJ00";"    7614"
"180";"PV21  ";"1994JJ00";"    7467"
"181";"PV21  ";"1995JJ00";"    7555"
"182";"PV21  ";"1996JJ00";"    7424"
"183";"PV21  ";"1997JJ00";"    7548"
"184";"PV21  ";"1998JJ00";"    7719"
"185";"PV21  ";"1999JJ00";"    7799"
"186";"PV21  ";"2000JJ00";"    8009"
"187";"PV21  ";"2001JJ00";"    7912"
"188";"PV21  ";"2002JJ00";"    7987"
"189";"PV21  ";"2003JJ00";"    7932"
"190";"PV21  ";"2004JJ00";"    7551"
"191";"PV21  ";"2005JJ00";"    7377"
"192";"PV21  ";"2006JJ00";"    7233"
"193";"PV21  ";"2007JJ00";"    7059"
"194";"PV21  ";"2008JJ00";"    7026"
"195";"PV21  ";"2009JJ00";"    7109"
"196";"PV21  ";"2010JJ00";"    7012"
"197";"PV21  ";"2011JJ00";"    6655"
"198";"PV21  ";"2012JJ00";"    6502"
"199";"PV21  ";"2013JJ00";"    6263"
"200";"PV21  ";"2014JJ00";"    6310"
"201";"PV21  ";"2015JJ00";"    6011"
"202";"PV21  ";"2016JJ00";"    6017"
"203";"PV22  ";"1988JJ00";"    5230"
"204";"PV22  ";"1989JJ00";"    5090"
"205";"PV22  ";"1990JJ00";"    5387"
"206";"PV22  ";"1991JJ00";"    5350"
"207";"PV22  ";"1992JJ00";"    5250"
"208";"PV22  ";"1993JJ00";"    5412"
"209";"PV22  ";"1994JJ00";"    5256"
"210";"PV22  ";"1995JJ00";"    5305"
"211";"PV22  ";"1996JJ00";"    5349"
"212";"PV22  ";"1997JJ00";"    5421"
"213";"PV22  ";"1998JJ00";"    5640"
"214";"PV22  ";"1999JJ00";"    5770"
"215";"PV22  ";"2000JJ00";"    5822"
"216";"PV22  ";"2001JJ00";"    5842"
"217";"PV22  ";"2002JJ00";"    5763"
"218";"PV22  ";"2003JJ00";"    5516"
"219";"PV22  ";"2004JJ00";"    5320"
"220";"PV22  ";"2005JJ00";"    5099"
"221";"PV22  ";"2006JJ00";"    5013"
"222";"PV22  ";"2007JJ00";"    4858"
"223";"PV22  ";"2008JJ00";"    4914"
"224";"PV22  ";"2009JJ00";"    5022"
"225";"PV22  ";"2010JJ00";"    4750"
"226";"PV22  ";"2011JJ00";"    4616"
"227";"PV22  ";"2012JJ00";"    4406"
"228";"PV22  ";"2013JJ00";"    4174"
"229";"PV22  ";"2014JJ00";"    4302"
"230";"PV22  ";"2015JJ00";"    4029"
"231";"PV22  ";"2016JJ00";"    4208"
"232";"PV23  ";"1988JJ00";"   13243"
"233";"PV23  ";"1989JJ00";"   13480"
"234";"PV23  ";"1990JJ00";"   13922"
"235";"PV23  ";"1991JJ00";"   13679"
"236";"PV23  ";"1992JJ00";"   13893"
"237";"PV23  ";"1993JJ00";"   13845"
"238";"PV23  ";"1994JJ00";"   13853"
"239";"PV23  ";"1995JJ00";"   13231"
"240";"PV23  ";"1996JJ00";"   13314"
"241";"PV23  ";"1997JJ00";"   13533"
"242";"PV23  ";"1998JJ00";"   14088"
"243";"PV23  ";"1999JJ00";"   14284"
"244";"PV23  ";"2000JJ00";"   14924"
"245";"PV23  ";"2001JJ00";"   14562"
"246";"PV23  ";"2002JJ00";"   14663"
"247";"PV23  ";"2003JJ00";"   14857"
"248";"PV23  ";"2004JJ00";"   14098"
"249";"PV23  ";"2005JJ00";"   13942"
"250";"PV23  ";"2006JJ00";"   13667"
"251";"PV23  ";"2007JJ00";"   13368"
"252";"PV23  ";"2008JJ00";"   13411"
"253";"PV23  ";"2009JJ00";"   13260"
"254";"PV23  ";"2010JJ00";"   13180"
"255";"PV23  ";"2011JJ00";"   12651"
"256";"PV23  ";"2012JJ00";"   12367"
"257";"PV23  ";"2013JJ00";"   12151"
"258";"PV23  ";"2014JJ00";"   12092"
"259";"PV23  ";"2015JJ00";"   11765"
"260";"PV23  ";"2016JJ00";"   11728"
"261";"PV24  ";"1988JJ00";"    3692"
"262";"PV24  ";"1989JJ00";"    3506"
"263";"PV24  ";"1990JJ00";"    3889"
"264";"PV24  ";"1991JJ00";"    3954"
"265";"PV24  ";"1992JJ00";"    3948"
"266";"PV24  ";"1993JJ00";"    4139"
"267";"PV24  ";"1994JJ00";"    4208"
"268";"PV24  ";"1995JJ00";"    4144"
"269";"PV24  ";"1996JJ00";"    4170"
"270";"PV24  ";"1997JJ00";"    4365"
"271";"PV24  ";"1998JJ00";"    4785"
"272";"PV24  ";"1999JJ00";"    4933"
"273";"PV24  ";"2000JJ00";"    5064"
"274";"PV24  ";"2001JJ00";"    5330"
"275";"PV24  ";"2002JJ00";"    5347"
"276";"PV24  ";"2003JJ00";"    5452"
"277";"PV24  ";"2004JJ00";"    5302"
"278";"PV24  ";"2005JJ00";"    5290"
"279";"PV24  ";"2006JJ00";"    5179"
"280";"PV24  ";"2007JJ00";"    5219"
"281";"PV24  ";"2008JJ00";"    5101"
"282";"PV24  ";"2009JJ00";"    5292"
"283";"PV24  ";"2010JJ00";"    5310"
"284";"PV24  ";"2011JJ00";"    5090"
"285";"PV24  ";"2012JJ00";"    4991"
"286";"PV24  ";"2013JJ00";"    4687"
"287";"PV24  ";"2014JJ00";"    4922"
"288";"PV24  ";"2015JJ00";"    4735"
"289";"PV24  ";"2016JJ00";"    4706"
"290";"PV25  ";"1988JJ00";"   22522"
"291";"PV25  ";"1989JJ00";"   22836"
"292";"PV25  ";"1990JJ00";"   23891"
"293";"PV25  ";"1991JJ00";"   24190"
"294";"PV25  ";"1992JJ00";"   23548"
"295";"PV25  ";"1993JJ00";"   23620"
"296";"PV25  ";"1994JJ00";"   23792"
"297";"PV25  ";"1995JJ00";"   23312"
"298";"PV25  ";"1996JJ00";"   23171"
"299";"PV25  ";"1997JJ00";"   23461"
"300";"PV25  ";"1998JJ00";"   24425"
"301";"PV25  ";"1999JJ00";"   24508"
"302";"PV25  ";"2000JJ00";"   25370"
"303";"PV25  ";"2001JJ00";"   24626"
"304";"PV25  ";"2002JJ00";"   24826"
"305";"PV25  ";"2003JJ00";"   24271"
"306";"PV25  ";"2004JJ00";"   23235"
"307";"PV25  ";"2005JJ00";"   22202"
"308";"PV25  ";"2006JJ00";"   22213"
"309";"PV25  ";"2007JJ00";"   21191"
"310";"PV25  ";"2008JJ00";"   21695"
"311";"PV25  ";"2009JJ00";"   21350"
"312";"PV25  ";"2010JJ00";"   21142"
"313";"PV25  ";"2011JJ00";"   20557"
"314";"PV25  ";"2012JJ00";"   19835"
"315";"PV25  ";"2013JJ00";"   19683"
"316";"PV25  ";"2014JJ00";"   19851"
"317";"PV25  ";"2015JJ00";"   19525"
"318";"PV25  ";"2016JJ00";"   19499"
"319";"PV26  ";"1988JJ00";"   12845"
"320";"PV26  ";"1989JJ00";"   13669"
"321";"PV26  ";"1990JJ00";"   14149"
"322";"PV26  ";"1991JJ00";"   14371"
"323";"PV26  ";"1992JJ00";"   14369"
"324";"PV26  ";"1993JJ00";"   14318"
"325";"PV26  ";"1994JJ00";"   14141"
"326";"PV26  ";"1995JJ00";"   13930"
"327";"PV26  ";"1996JJ00";"   14186"
"328";"PV26  ";"1997JJ00";"   14359"
"329";"PV26  ";"1998JJ00";"   15030"
"330";"PV26  ";"1999JJ00";"   15370"
"331";"PV26  ";"2000JJ00";"   16080"
"332";"PV26  ";"2001JJ00";"   15807"
"333";"PV26  ";"2002JJ00";"   16101"
"334";"PV26  ";"2003JJ00";"   16222"
"335";"PV26  ";"2004JJ00";"   15771"
"336";"PV26  ";"2005JJ00";"   15395"
"337";"PV26  ";"2006JJ00";"   15423"
