"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"0";"NL01  ";"1995JJ00";"15424122";"";"";"   13904";"";"";"                                                  "
"1";"NL01  ";"1996JJ00";"15493889";"";"";"   16804";"";"";"                                                  "
"2";"NL01  ";"1997JJ00";"15567107";"";"";"   27887";"";"";"                                                  "
"3";"NL01  ";"1998JJ00";"15654192";"";"";"   43118";"";"";"                                                  "
"4";"NL01  ";"1999JJ00";"15760225";"";"";"   40372";"";"";"                                                  "
"5";"NL01  ";"2000JJ00";"15863950";"";"";"   53873";"";"";"                                                  "
"6";"NL01  ";"2001JJ00";"15987075";"";"";"   50838";"";"";"                                                  "
"7";"NL01  ";"2002JJ00";"16105285";"";"";"   24332";"";"";"                                                  "
"8";"NL01  ";"2003JJ00";"16192572";"";"";"    -317";"";"";"                                                  "
"9";"NL01  ";"2004JJ00";"16258032";"";"";"  -16216";"";"";"                                                  "
"10";"NL01  ";"2005JJ00";"16305526";"";"";"  -27428";"";"";"                                                  "
"11";"NL01  ";"2006JJ00";"16334210";"";"";"  -31320";"    29.8";"";"                                                  "
"12";"NL01  ";"2007JJ00";"16357992";"";"";"   -5757";"    31.3";"";"                                                  "
"13";"NL01  ";"2008JJ00";"16405399";"";"";"   25737";"    33.6";"";"                                                  "
"14";"NL01  ";"2009JJ00";"16485787";"";"";"   34481";"    34.3";"";"                                                  "
"15";"NL01  ";"2010JJ00";"16574989";"";"";"   33081";"    34.4";"";"                                                  "
"16";"NL01  ";"2011JJ00";"16655799";"";"";"   29768";"    34.3";"";"                                                  "
"17";"NL01  ";"2012JJ00";"16730348";"";"";"   13883";"    34.2";"";"                                                  "
"18";"NL01  ";"2013JJ00";"16779575";"";"";"   19103";"    34.5";" 1341110";"                                                  "
"19";"NL01  ";"2014JJ00";"16829289";"";"";"   35087";"    34.8";" 1363490";"                                                  "
"20";"NL01  ";"2015JJ00";"16900726";"";"";"   55106";"    36.2";" 1418820";"                                                  "
"21";"NL01  ";"2016JJ00";"16979120";"";"";"   79194";"";" 1470645";"                                                  "
"22";"NL01  ";"2017JJ00";"17081507";"";"";"";"";" 1508540";"                                                  "
"23";"NL01  ";"2018JJ00";"17184010";"";"";"";"";"";""
"120";"PV20  ";"1995JJ00";"  557995";"   -1235";"    -2.2";"     347";"";"";"                                                  "
"121";"PV20  ";"1996JJ00";"  558113";"   -1535";"    -2.8";"     919";"";"";"                                                  "
"122";"PV20  ";"1997JJ00";"  558124";"   -2037";"    -3.7";"    1085";"";"";"                                                  "
"123";"PV20  ";"1998JJ00";"  558017";"   -1299";"    -2.3";"    2291";"";"";"                                                  "
"124";"PV20  ";"1999JJ00";"  559988";"    -200";"    -0.4";"    1906";"";"";"                                                  "
"125";"PV20  ";"2000JJ00";"  562646";"     -80";"    -0.1";"    2864";"";"";"                                                  "
"126";"PV20  ";"2001JJ00";"  566489";"    -342";"    -0.6";"    3427";"";"";"                                                  "
"127";"PV20  ";"2002JJ00";"  570480";"    -687";"    -1.2";"    2159";"";"";"                                                  "
"128";"PV20  ";"2003JJ00";"  572997";"     167";"     0.3";"     121";"";"";"                                                  "
"129";"PV20  ";"2004JJ00";"  574384";"    -106";"    -0.2";"    -215";"";"";"                                                  "
"130";"PV20  ";"2005JJ00";"  575072";"    -746";"    -1.3";"   -1085";"";"";"                                                  "
"131";"PV20  ";"2006JJ00";"  574042";"    -214";"    -0.4";"    -972";"    26.4";"";"                                                  "
"132";"PV20  ";"2007JJ00";"  573614";"    -507";"    -0.9";"    -492";"    27.8";"";"                                                  "
"133";"PV20  ";"2008JJ00";"  573459";"   -1060";"    -1.8";"     894";"    29.5";"";"                                                  "
"134";"PV20  ";"2009JJ00";"  574092";"     317";"     0.6";"    1494";"    30.4";"";"                                                  "
"135";"PV20  ";"2010JJ00";"  576668";"       9";"     0.0";"    1959";"    30.4";"";"                                                  "
"136";"PV20  ";"2011JJ00";"  579036";"     242";"     0.4";"     990";"    30.4";"";"                                                  "
"137";"PV20  ";"2012JJ00";"  580875";"    -108";"    -0.2";"     789";"    30.5";"";"                                                  "
"138";"PV20  ";"2013JJ00";"  581705";"    -319";"    -0.5";"    1397";"    30.5";"   39140";"                                                  "
"139";"PV20  ";"2014JJ00";"  582728";"   -1911";"    -3.3";"    3042";"    30.8";"   39650";"                                                  "
"140";"PV20  ";"2015JJ00";"  583942";"   -5884";"   -10.1";"    5793";"    31.8";"   41050";"                                                  "
"141";"PV20  ";"2016JJ00";"  583721";"   -6126";"   -10.5";"    6181";"";"   42515";"                                                  "
"142";"PV20  ";"2017JJ00";"  583581";"";"";"";"";"   43275";"                                                  "
